"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.95759291750106e-17,0.991521433754905,0.078,0.114,4.09743773562147e-13,"1","Tmco3"
6.93998216129164e-10,0.989758510481368,0.139,0.186,1.45260766617995e-05,"1","Rabgap1"
6.94966380499328e-180,0.989323410906178,0.603,0.617,1.45463413102314e-175,"1","Fam161a"
5.87197040684575e-07,0.988720699740273,0.159,0.208,0.0122906212585688,"1","Zfp322a"
2.97250956659625e-14,0.988527322061175,0.083,0.118,6.22175977384262e-10,"1","Gm5165"
2.45302975013076e-18,0.986696988885161,0.07,0.106,5.1344365699987e-14,"1","Ptcd3"
2.43604169099537e-14,0.985806497248073,0.121,0.17,5.09887886342241e-10,"1","Nfx1"
2.49689347307937e-243,0.985451359129407,0.662,0.664,5.22624772850244e-239,"1","Ktn1"
1.75954631200801e-15,0.984218582931336,0.068,0.1,3.68290638566398e-11,"1","Lrrfip2"
3.34357443024695e-12,0.981483127516088,0.094,0.13,6.99843563994988e-08,"1","Klhl12"
2.76638599649153e-08,0.98049814808128,0.11,0.144,0.000579032252925642,"1","2610008E11Rik"
5.67643521826928e-19,0.980123722387657,0.383,0.428,1.18813465553594e-14,"1","Luc7l3"
8.55681423877838e-15,0.978322247939384,0.097,0.137,1.7910267883187e-10,"1","Hmgxb4"
2.64405867772148e-07,0.977775071557551,0.11,0.142,0.00553427921833884,"1","Rab11fip2"
6.84751486953984e-16,0.977363981707948,0.081,0.117,1.43325333734338e-11,"1","Lrch3"
6.84821067582776e-16,0.977297781276206,0.109,0.155,1.43339897655751e-11,"1","Nsd2"
4.169566718137e-08,0.97362440178064,0.142,0.186,0.000872732009773256,"1","Relch"
1.5282506912257e-14,0.97278640750505,0.108,0.151,3.19878152180452e-10,"1","Nhlrc2"
2.23656834965475e-12,0.972659641568085,0.103,0.142,4.68136121266235e-08,"1","Atrip"
1.09352940241538e-13,0.972546096844856,0.102,0.143,2.28886639219564e-09,"1","Kmt5a"
